City,Lat,Lng,Max temp,Humidity,Cloudiness,Wind Speed,Country,Date
East London,-33.0153,27.9116,18.17,73,68,6.01,ZA,1636849728
Hambantota,6.1241,81.1185,25.63,83,96,5.74,LK,1636849729
Ushuaia,-54.8,-68.3,11.81,43,40,4.63,AR,1636849715
Vaini,-21.2,-175.2,24.19,69,47,3.74,TO,1636849731
Pagudpud,18.5616,120.7868,27.98,87,84,6.06,PH,1636849732
Chui,-33.6971,-53.4616,17.59,74,0,7.49,UY,1636849732
Tulun,54.5611,100.5792,-3.86,95,100,1.05,RU,1636849733
Øksfjord,70.2396,22.3479,0.51,91,82,4.43,NO,1636849734
Dhule,20.9,74.7833,21.1,56,67,1.05,IN,1636849735
Rikitea,-23.1203,-134.9692,23.05,73,58,5.61,PF,1636849736
Mataura,-46.1927,168.8643,9.8,99,100,0.61,NZ,1636849737
Sakaiminato,35.55,133.2333,12.99,82,40,1.54,JP,1636849737
Sandpoint,48.2766,-116.5533,8.16,88,90,0.0,US,1636849694
Albany,42.6001,-73.9662,3.97,87,99,0.45,US,1636849739
Hobart,-42.8794,147.3294,15.59,58,75,2.24,AU,1636849739
Raudeberg,61.9875,5.1352,6.22,67,38,1.82,NO,1636849740
Puerto Escondido,15.85,-97.0667,27.46,74,1,0.0,MX,1636849741
Narón,43.5167,-8.1528,13.66,79,68,2.32,ES,1636849742
Lata,40.1629,-8.3327,13.78,72,53,1.65,PT,1636849743
Opuwo,-18.0607,13.84,24.63,48,99,1.48,NA,1636849743
Pangnirtung,66.1451,-65.7125,-18.57,87,94,1.94,CA,1636849744
Provideniya,64.3833,-173.3,-4.56,96,99,1.22,RU,1636849745
Ntcheu,-14.8203,34.6359,20.81,71,76,1.51,MW,1636849746
Salta,-24.7859,-65.4117,25.16,63,75,1.03,AR,1636849746
Belyy Yar,53.6039,91.3903,-0.06,84,0,0.0,RU,1636849747
Marabu,4.4148,114.0089,26.08,83,20,1.54,MY,1636849748
Mosal'sk,54.4881,34.9817,0.37,78,74,1.74,RU,1636849748
Hilo,19.7297,-155.09,27.11,95,90,2.06,US,1636849749
Hermanus,-34.4187,19.2345,15.5,86,74,2.92,ZA,1636849750
Busselton,-33.65,115.3333,16.69,55,53,7.94,AU,1636849751
Taunsa,30.7048,70.6505,17.59,17,0,1.31,PK,1636849751
Khatanga,71.9667,102.5,-22.07,89,100,3.03,RU,1636849752
Hyères,43.1167,6.1167,13.71,67,0,2.57,FR,1636849753
Mehamn,71.0357,27.8492,-1.03,93,90,7.2,NO,1636849754
Kapit,2.0167,112.9333,23.68,98,100,0.89,MY,1636849754
Khandyga,62.6667,135.6,-20.01,98,100,1.76,RU,1636849755
Front Royal,38.9182,-78.1944,5.96,62,1,3.6,US,1636849756
Bambous Virieux,-20.3428,57.7575,24.01,83,20,2.57,MU,1636849756
Novorzhev,57.0294,29.3338,2.41,88,100,1.53,RU,1636849757
Lebu,-37.6167,-73.65,11.06,77,5,4.0,CL,1636849758
Chokurdakh,70.6333,147.9167,-19.52,89,100,4.39,RU,1636849759
Dikson,73.5069,80.5464,-23.61,95,13,0.87,RU,1636849759
Puerto Ayora,-0.7393,-90.3518,19.78,83,23,4.03,EC,1636849714
Ankazoabo,-22.2833,44.5167,23.5,44,41,1.12,MG,1636849761
Norman Wells,65.282,-126.8329,-8.98,79,90,5.66,CA,1636849762
San Patricio,28.017,-97.5169,19.35,34,1,3.47,US,1636849763
Asău,46.4333,26.4,5.78,77,98,1.32,RO,1636849763
Alice Springs,-23.7,133.8833,20.75,35,2,3.6,AU,1636849609
Kaura Namoda,12.5898,6.5779,24.7,18,19,2.34,NG,1636849764
Saint-François,46.4154,3.9054,9.71,98,90,2.57,FR,1636849765
Mahébourg,-20.4081,57.7,24.03,83,20,2.57,MU,1636849766
Kaniama,-7.5667,24.1833,19.18,98,95,1.97,CD,1636849767
Tombouctou,20.0,-3.0,23.54,16,91,3.25,ML,1636849767
Kinkala,-4.3614,14.7644,20.17,98,99,0.66,CG,1636849768
Joaíma,-16.6542,-41.0306,17.87,98,100,1.92,BR,1636849769
Truckee,39.328,-120.1833,17.12,50,1,0.0,US,1636849766
Maumere,-8.6199,122.2111,28.13,75,98,1.28,ID,1636849770
Jamestown,42.097,-79.2353,3.62,96,90,7.6,US,1636849770
Srednekolymsk,67.45,153.6833,-13.12,96,100,2.51,RU,1636849771
Moree,-29.4667,149.85,21.01,28,40,5.14,AU,1636849507
Port Alfred,-33.5906,26.891,16.81,87,45,7.22,ZA,1636849773
Nuuk,64.1835,-51.7216,-9.66,57,20,9.26,GL,1636849673
San Cristobal,7.7669,-72.225,23.1,85,82,0.27,VE,1636849774
Carnarvon,-24.8667,113.6333,23.04,68,0,5.66,AU,1636849775
Qaanaaq,77.484,-69.3632,-22.89,54,0,3.87,GL,1636849775
Parabel',58.6978,81.4825,-5.1,95,99,3.36,RU,1636849776
Tasiilaq,65.6145,-37.6368,1.09,92,100,9.0,GL,1636849777
Bluff,-46.6,168.3333,10.93,84,100,3.59,NZ,1636849778
Arraial do Cabo,-22.9661,-42.0278,20.26,59,82,4.44,BR,1636849778
Meulaboh,4.1363,96.1285,24.81,86,100,1.44,ID,1636849779
Hirara,24.8,125.2833,22.15,83,75,5.66,JP,1636849780
Hamilton,39.1834,-84.5333,4.09,76,90,0.89,US,1636849781
Houma,29.5958,-90.7195,13.33,60,1,2.57,US,1636849730
Talnakh,69.4865,88.3972,-12.48,93,100,5.23,RU,1636849782
Galeana,24.8333,-100.0667,15.17,91,72,2.36,MX,1636849783
Shelburne,44.0787,-80.2041,2.59,96,89,6.1,CA,1636849783
Cabo San Lucas,22.8909,-109.9124,27.61,71,20,3.6,MX,1636849784
Arrondissement de Saint-Denis,48.9167,2.3333,10.69,94,0,0.45,FR,1636849785
Shitkino,56.3703,98.3543,-2.58,92,100,3.45,RU,1636849786
Pangai,-19.8,-174.35,25.58,78,36,5.26,TO,1636849787
Eureka,40.8021,-124.1637,18.15,81,50,0.45,US,1636849646
Mananara,-16.1667,49.7667,23.49,90,55,2.01,MG,1636849788
Cape Town,-33.9258,18.4232,17.83,78,0,1.34,ZA,1636849704
Seoul,37.5683,126.9778,11.69,71,0,2.57,KR,1636849648
Bredasdorp,-34.5322,20.0403,11.82,90,64,0.76,ZA,1636849790
Inhambane,-23.865,35.3833,22.49,88,41,4.17,MZ,1636849790
Saint-Philippe,-21.3585,55.7679,23.75,83,93,4.9,RE,1636849791
Paka,4.6374,103.4368,23.96,100,20,0.0,MY,1636849792
Punta Arenas,-53.15,-70.9167,10.06,66,90,4.63,CL,1636849512
Lagoa,39.05,-27.9833,17.12,65,100,8.74,PT,1636849793
Xuzhou,34.1805,117.1571,9.13,53,0,1.12,CN,1636849794
Sobolevo,54.4299,31.8996,0.69,87,76,2.25,RU,1636849794
Moose Factory,51.2585,-80.6094,0.0,100,90,3.6,CA,1636849795
Dingzhou,38.5131,114.9956,3.06,56,0,1.54,CN,1636849796
Rawson,-43.3002,-65.1023,15.87,72,100,3.87,AR,1636849567
Ouro Sogui,15.6064,-13.3211,24.0,78,93,2.06,SN,1636849797
Mwense,-10.3845,28.698,21.08,74,88,1.17,ZM,1636849798
Nanortalik,60.1432,-45.2371,-5.36,71,2,13.57,GL,1636849798
Bairiki Village,1.3292,172.9752,30.0,66,40,4.12,KI,1636849799
Bethel,41.3712,-73.414,6.38,77,75,0.89,US,1636849800
Saldanha,-33.0117,17.9442,16.31,88,9,6.52,ZA,1636849801
Coyhaique,-45.5752,-72.0662,10.97,50,75,6.17,CL,1636849801
Mount Isa,-20.7333,139.5,22.87,25,0,8.75,AU,1636849802
New Norfolk,-42.7826,147.0587,15.4,66,94,2.68,AU,1636849804
Ribeira Grande,38.5167,-28.7,17.61,62,100,9.43,PT,1636849805
Lianran,24.9227,102.485,8.3,98,100,1.53,CN,1636849806
Bonthe,7.5264,-12.505,26.14,82,99,1.3,SL,1636849807
Ponta do Sol,32.6667,-17.1,20.35,69,3,0.88,PT,1636849807
Atuona,-9.8,-139.0333,25.45,68,5,5.12,PF,1636849808
Mar del Plata,-38.0023,-57.5575,18.94,89,90,1.34,AR,1636849536
Mezen',65.8522,44.24,-5.72,88,100,3.36,RU,1636849809
Leningradskiy,69.3833,178.4167,-15.1,97,99,1.8,RU,1636849756
Yellowknife,62.456,-114.3525,-1.99,100,90,3.6,CA,1636849811
Abay,49.6311,72.8539,-2.79,56,100,8.41,KZ,1636849812
Abhā,18.2164,42.5053,11.14,28,0,0.0,SA,1636849813
Klaksvík,62.2266,-6.589,8.51,96,100,15.57,FO,1636849813
Esim,4.8699,-2.2405,25.57,84,8,2.34,GH,1636849889
Corat,40.5725,49.7064,4.05,69,0,3.84,AZ,1636849890
Ossora,59.2353,163.0719,0.75,99,100,7.45,RU,1636849891
Bengkulu,-3.8004,102.2655,25.69,82,100,1.27,ID,1636849892
Faanui,-16.4833,-151.75,26.2,71,100,5.84,PF,1636849893
Malpe,13.35,74.7167,24.61,93,97,3.15,IN,1636849893
Kapaa,22.0752,-159.319,28.18,79,20,2.68,US,1636849894
Barrow,71.2906,-156.7887,-8.99,73,90,6.69,US,1636849802
La Ronge,55.1001,-105.2842,-3.88,86,90,2.06,CA,1636849895
Rovaniemi,66.5,25.7167,-5.33,93,90,3.6,FI,1636849666
Tabou,4.423,-7.3528,25.08,86,100,0.56,CI,1636849896
Geraldton,-28.7667,114.6,21.23,73,75,6.17,AU,1636849897
Narsaq,60.9167,-46.05,-7.88,82,2,1.89,GL,1636849898
Tiarei,-17.5333,-149.3333,30.01,65,42,4.48,PF,1636849899
Nago,26.5881,127.9761,20.25,82,100,7.72,JP,1636849899
Hithadhoo,-0.6,73.0833,27.62,77,100,6.19,MV,1636849900
Taltal,-25.4,-70.4833,17.54,74,6,1.35,CL,1636849901
Paamiut,61.994,-49.6678,-14.23,74,2,4.89,GL,1636849901
Nizwá,22.9333,57.5333,19.28,39,5,1.55,OM,1636849902
Kavieng,-2.5744,150.7967,29.6,64,18,3.56,PG,1636849903
Lavrentiya,65.5833,-171.0,-9.71,95,69,2.02,RU,1636849904
Aswān,24.0934,32.907,22.74,71,0,3.3,EG,1636849904
Husavik,66.0449,-17.3389,8.95,93,100,6.89,IS,1636849905
Davila,18.4726,120.5763,27.99,82,59,9.38,PH,1636849906
Saskylakh,71.9167,114.0833,-27.3,95,11,3.47,RU,1636849907
Manyana,-23.4,21.7167,26.18,27,100,1.95,BW,1636849908
Ouadda,8.0777,22.4007,23.73,63,81,2.03,CF,1636849908
Aljezur,37.3191,-8.8033,11.46,59,13,2.29,PT,1636849909
Mackay,-21.15,149.2,28.91,34,5,6.17,AU,1636849910
General Roca,-39.0333,-67.5833,17.57,41,0,13.55,AR,1636849911
Butaritari,3.0707,172.7902,27.92,74,18,6.89,KI,1636849912
Torbay,47.6666,-52.7314,9.86,94,90,9.77,CA,1636849872
Gainesville,29.6516,-82.3248,16.16,78,1,0.0,US,1636849844
Avarua,-21.2078,-159.775,24.03,88,75,2.57,CK,1636849913
Corinth,37.9407,22.9573,15.38,85,100,1.29,GR,1636849914
Bereda,43.2686,-7.5406,11.06,100,73,1.05,ES,1636849915
San Julián,21.0167,-102.1667,13.42,57,29,5.95,MX,1636849916
Sakakah,29.9697,40.2064,17.76,29,100,6.23,SA,1636849916
Hasaki,35.7333,140.8333,13.22,57,64,7.51,JP,1636849918
Pevek,69.7008,170.3133,-14.03,90,100,1.16,RU,1636849918
Sitka,57.0531,-135.33,3.94,81,90,5.66,US,1636849919
Sokolo,14.7328,-6.1219,26.82,20,79,4.95,ML,1636849920
Padang,-0.9492,100.3543,24.03,75,87,0.45,ID,1636849921
Sittwe,20.15,92.9,25.1,83,95,1.78,MM,1636849921
Río Gallegos,-51.6226,-69.2181,10.03,81,75,3.6,AR,1636849922
Alofi,-19.0595,-169.9187,24.94,88,15,2.57,NU,1636849923
Myrhorod,49.9685,33.6089,1.1,87,72,2.98,UA,1636849924
Aborlan,9.4352,118.5492,27.25,83,97,2.02,PH,1636849925
Karratha,-20.7377,116.8463,30.37,25,8,4.24,AU,1636849925
Morant Bay,17.8815,-76.4093,28.79,82,99,3.43,JM,1636849926
High Level,58.5169,-117.136,0.06,80,40,2.06,CA,1636849927
Korla,41.7597,86.1469,-1.28,45,0,0.86,CN,1636849928
Leh,34.1667,77.5833,-8.77,48,0,1.42,IN,1636849928
Anloga,5.7947,0.8973,28.12,81,8,4.29,GH,1636849929
Saint Paul Harbor,57.79,-152.4072,-2.27,69,90,4.12,US,1636849930
Ponta Delgada,37.7333,-25.6667,19.72,94,75,3.6,PT,1636849931
Phan Thiet,10.9333,108.1,26.4,81,100,2.14,VN,1636849932
Severo-Kuril'sk,50.6789,156.125,4.19,74,52,10.07,RU,1636849932
Shymkent,42.3,69.6,3.33,81,92,0.0,KZ,1636849934
Omsukchan,62.5333,155.8,-4.64,96,100,1.58,RU,1636849935
Saint-Junien,45.8833,0.9,10.52,99,100,1.12,FR,1636849937
Tshikapa,-6.4167,20.8,20.53,98,100,0.88,CD,1636849937
Issenye,-2.0,34.3333,18.55,62,83,1.64,TZ,1636849938
São João da Barra,-21.6403,-41.0511,19.88,65,100,3.5,BR,1636849939
Kruisfontein,-34.0033,24.7314,14.94,90,100,4.34,ZA,1636849940
Eucaliptus,-17.5833,-67.5167,9.85,72,100,3.1,BO,1636849941
Noumea,-22.2763,166.4572,31.99,99,41,3.91,NC,1636849941
Oranjemund,-28.55,16.4333,16.07,88,0,5.1,NA,1636849942
Nyurba,63.2842,118.3319,-25.32,97,14,1.94,RU,1636849943
Tocopilla,-22.092,-70.1979,18.49,74,85,3.17,CL,1636849913
Beringovskiy,63.05,179.3167,-3.24,97,98,1.11,RU,1636849944
Pacific Grove,36.6177,-121.9166,23.88,72,1,0.45,US,1636849936
Port Elizabeth,-33.918,25.5701,17.16,82,20,5.14,ZA,1636849946
Lethem,3.3803,-59.7968,28.11,63,100,4.62,GY,1636849946
Hong Kong,22.2855,114.1577,21.29,58,8,0.45,HK,1636849799
Jagdalpur,19.0667,82.0333,19.9,95,93,1.59,IN,1636849948
Manbij,36.5281,37.9549,5.43,32,100,2.54,SY,1636849949
São José da Coroa Grande,-8.8978,-35.1478,25.65,78,36,3.88,BR,1636849950
Buşayrā,30.7376,35.6078,13.76,31,96,3.58,JO,1636849950
Grand Island,40.925,-98.342,10.16,60,1,3.09,US,1636849942
Mazagão,-0.115,-51.2894,29.03,74,14,2.67,BR,1636849951
Bahía Blanca,-38.7196,-62.2724,14.89,93,100,3.66,AR,1636849952
Dingli,35.8614,14.3822,13.09,88,0,0.51,MT,1636849953
Ahipara,-35.1667,173.1667,19.91,91,100,5.88,NZ,1636849954
Muisne,0.6,-80.0333,23.5,83,97,3.02,EC,1636849954
Chumikan,54.7183,135.315,-4.94,68,100,8.58,RU,1636849955
Hervey Bay,-25.2986,152.8535,26.06,36,0,1.78,AU,1636849956
Lagos,6.5833,3.75,24.18,91,52,1.78,NG,1636849755
Rudnogorsk,57.2639,103.7519,-3.69,92,100,3.12,RU,1636849957
Constitución,-35.3333,-72.4167,10.29,83,0,6.29,CL,1636849958
Somotillo,13.0433,-86.9064,31.08,74,9,1.26,NI,1636849959
Changji,44.0167,87.3167,-3.56,74,17,1.0,CN,1636849959
Buchmany,51.0689,28.0421,2.6,86,100,3.97,UA,1636849960
La Rioja,42.25,-2.5,7.49,96,32,1.89,ES,1636849961
Dongobesh,-4.0667,35.3833,13.65,86,97,3.37,TZ,1636849961
Paita,-5.0892,-81.1144,17.51,83,5,7.02,PE,1636849962
Ancud,-41.8697,-73.8203,11.35,89,100,5.04,CL,1636849963
Codrington,-38.2667,141.9667,11.03,71,86,10.84,AU,1636849964
Sørland,67.667,12.6934,4.72,63,96,7.81,NO,1636849965
Xining,36.6167,101.7667,-2.49,56,100,1.13,CN,1636849966
Bradford,53.7939,-1.7521,10.83,79,40,1.54,GB,1636849756
Sokoto,13.0609,5.239,25.72,17,2,2.25,NG,1636849967
Zhuhai,22.2769,113.5678,21.14,60,0,5.66,CN,1636849968
Castro,-24.7911,-50.0119,11.36,91,100,4.79,BR,1636849969
Vila Franca do Campo,37.7167,-25.4333,19.55,93,100,9.54,PT,1636849970
Kibala,9.1104,18.3463,25.97,69,0,4.12,TD,1636849970
Auki,-8.7676,160.7034,29.75,68,20,1.43,SB,1636849971
Yeppoon,-23.1333,150.7333,26.88,43,0,3.35,AU,1636849972
Ayagoz,47.9714,80.4392,-2.75,90,100,3.08,KZ,1636849973
Borovskoy,53.8,64.15,-4.12,97,99,3.21,KZ,1636849973
Great Falls,47.5002,-111.3008,8.15,26,1,4.47,US,1636849952
Ilulissat,69.2167,-51.1,-26.69,73,6,2.79,GL,1636849975
Kozhva,65.1073,57.0459,-9.25,92,100,2.82,RU,1636849976
Mana,5.6592,-53.7767,26.01,84,87,4.03,GF,1636849976
Maniitsoq,65.4167,-52.9,-10.37,59,0,3.82,GL,1636849977
Porto-Novo,6.4965,2.6036,27.9,85,6,2.71,BJ,1636849978
Saint George,37.1041,-113.5841,23.26,31,1,0.0,US,1636849924
Bathsheba,13.2167,-59.5167,27.34,78,20,8.23,BB,1636849979
Broken Hill,-31.95,141.4333,14.84,47,75,9.26,AU,1636849980
Zhangye,38.9342,100.4517,-0.3,35,19,1.32,CN,1636849980
Flinders,-34.5833,150.8552,20.59,44,40,5.36,AU,1636849981
Fortuna,40.5982,-124.1573,17.46,68,1,0.89,US,1636849982
Shenjiamen,29.9576,122.298,15.32,65,0,3.5,CN,1636849983
Touros,-5.1989,-35.4608,27.5,79,12,7.46,BR,1636849984
Kenai,60.5544,-151.2583,-4.92,85,75,2.06,US,1636849984
Jatiroto,-7.8833,111.1167,25.99,81,78,1.11,ID,1636849986
Saint-Paul,-21.0096,55.2707,24.05,93,100,0.45,RE,1636849986
Lorengau,-2.0226,147.2712,28.57,78,100,2.66,PG,1636849987
Vao,-22.6667,167.4833,24.89,79,5,2.95,NC,1636849988
Aykhal,66.0,111.5,-24.54,99,100,3.5,RU,1636849989
Tromsø,69.6496,18.957,3.01,70,40,2.68,NO,1636849989
Pangody,65.85,74.4859,-18.66,86,4,4.59,RU,1636849937
Pershotravneve,51.3929,28.8684,2.09,86,100,3.3,UA,1636849991
Quelimane,-17.8786,36.8883,25.9,89,100,3.24,MZ,1636849991
Havelock,34.8791,-76.9013,17.74,88,0,4.74,US,1636849992
Umluj,25.0213,37.2685,23.82,60,100,1.07,SA,1636849993
Panalingaan,8.7842,117.4231,28.53,73,62,0.49,PH,1636849994
Taoudenni,22.6783,-3.9836,23.59,17,54,1.95,ML,1636849994
Bella Vista,36.4295,-94.2316,8.23,55,1,1.79,US,1636849995
Carutapera,-1.195,-46.02,26.65,74,9,3.22,BR,1636849996
Ziyang,29.2497,117.8547,13.99,52,0,0.38,CN,1636849997
Bratsk,56.1325,101.6142,-1.73,89,100,4.57,RU,1636849880
College,64.8569,-147.8028,-17.1,78,20,0.0,US,1636849811
Natal,-5.795,-35.2094,27.36,78,20,6.17,BR,1636849956
Haines Junction,60.7522,-137.5108,-4.03,68,100,0.0,CA,1636850000
Zaria,11.1113,7.7227,22.32,22,50,1.67,NG,1636850000
Lānja,16.85,73.55,23.93,79,99,1.21,IN,1636850001
Quang Ngai,15.1167,108.8,22.35,98,100,2.29,VN,1636850002
Wenling,28.3669,121.36,11.62,70,5,1.92,CN,1636850003
George Town,5.4112,100.3354,24.97,94,20,1.34,MY,1636850004
Kungurtug,50.5994,97.5228,-12.5,90,74,0.79,RU,1636850004
Oga,46.4631,10.347,3.38,98,100,0.42,IT,1636850006
Tuktoyaktuk,69.4541,-133.0374,-8.0,79,90,6.69,CA,1636850006
Puri,19.8,85.85,23.29,92,82,3.72,IN,1636850007
Ixtapa,20.7,-105.2,28.57,70,40,4.63,MX,1636850009
Thompson,55.7435,-97.8558,-4.91,86,75,1.54,CA,1636850009
Ontario,34.0633,-117.6509,32.02,21,1,3.6,US,1636850010
Nigrán,42.1415,-8.8066,14.24,83,22,0.45,ES,1636850011
Mumford,5.2618,-0.759,26.14,84,10,2.87,GH,1636850012
Slave Lake,55.2834,-114.769,3.99,52,1,6.17,CA,1636849871
Steamboat Springs,40.485,-106.8317,10.37,54,75,1.54,US,1636849985
Longyearbyen,78.2186,15.6401,-13.09,56,40,4.12,SJ,1636850013
Caraballeda,10.6112,-66.8522,29.04,65,40,2.06,VE,1636850014
Nagorsk,59.3172,50.8078,-8.82,84,17,3.95,RU,1636850015
Yerbogachën,61.2767,108.0108,-15.54,97,100,1.73,RU,1636850015
Edd,13.9297,41.6925,27.92,49,4,8.34,ER,1636850016
